Jugador,Jugados,Goles,Prom GxP
Guillermo Cáceres,175,71,"0,406"
Pablo Cáceres,160,208,"1,3"
Norberto Archanco,150,10,"0,067"
Felipe Oliver,141,90,"0,638"
Max Kraszewski,135,90,"0,667"
Javier Lencina,88,26,"0,295"
Rodrigo Aristizábal,75,28,"0,373"
Juanchi Donato,38,22,"0,579"
Nicolás Selles,34,0,0
Facundo Cacho,29,17,"0,586"
Axel Kraszewski,25,3,"0,12"
Juan Grasso,14,10,"0,714"
Christian Leopardi,14,1,"0,071"
José de Rocco,8,5,"0,625"
Sebastián Fernández,8,8,1
Andrés González,7,2,"0,286"
Fernando Aristizábal,6,3,"0,5"
Hugo Santilli,3,0,0
Diego Mora,3,3,1
Nicolás Cáceres,3,3,1
Sergio Catuzier,2,0,0
Ezequiel González,1,0,0
Martín Pezzente,1,0,0
Hernán Molluso,1,2,2
Mauro Rios,1,0,0
Jorge Altmeyer,1,1,1
Jorge Rodriguez,1,0,0
Juan Ferrón,0,0,0
Gustavo Cáceres,0,0,0
Nicolás Viacava,0,0,0
Federico Bello,0,0,0
Mariano Santomé,0,0,0
Agustin Ciulupa,0,0,0
Guillermo Fea,0,0,0
Javier Touriño,0,0,0